state,homeownership,annual_income,debt_to_income,total_credit_limit,total_credit_utilized,loan_purpose,loan_amount,term,interest_rate,installment,grade,issue_month,loan_status,risk_category_loan_status,balance,paid_total,paid_principal,paid_interest,default_flag,income_band,dti_bucket,dti_risk_bucket,utilization_alert,utilization_bucket
CA,Rent,"103,000.00",6.58,124900,27381,Other,30000,36,7.35%,931.13,A,2/1/2018,Fully Paid,Healthy,0.00,30647.13,30000.00,647.13,0,High (>100k),Healthy (<15%),Low,Safe,High
CA,Rent,"80,000.00",17.04,60573,50946,Debt_Consolidation,20000,36,16.02%,703.34,C,1/1/2018,Current,Healthy,17759.26,3558.47,2240.74,1317.73,0,Medium (50k-100k),Manageable (15-30%),Low,Maxed Out,High
FL,Mortgage,"43,000.00",16.33,48536,24868,Debt_Consolidation,5000,36,10.90%,163.46,B,3/1/2018,Current,Healthy,4642.64,487.35,357.36,129.99,0,Low (<50k),Manageable (15-30%),Low,Safe,High
FL,Mortgage,"72,000.00",26.38,406479,61290,Debt_Consolidation,25000,60,12.61%,563.85,C,3/1/2018,Current,Healthy,24087.05,1656.52,912.95,743.57,0,Medium (50k-100k),Manageable (15-30%),Medium,Safe,High
VA,Mortgage,"81,200.00",21.73,154546,154276,Other,10500,36,14.08%,359.28,C,1/1/2018,Current,Healthy,9291.57,1788.19,1208.43,579.76,0,Medium (50k-100k),Manageable (15-30%),Medium,Maxed Out,High
MI,Mortgage,"47,000.00",3.93,21500,3618,Credit_Card,6000,36,9.92%,193.38,B,3/1/2018,Current,Healthy,5565.08,576.83,434.92,141.91,0,Low (<50k),Healthy (<15%),Low,Safe,High
RI,Own,"100,000.00",2,114762,16375,Debt_Consolidation,16000,36,15.05%,555.04,C,1/1/2018,Current,Healthy,14183.13,2748.44,1816.87,931.57,0,Medium (50k-100k),Healthy (<15%),Low,Safe,High
WA,Mortgage,"150,000.00",12.78,417526,99141,Debt_Consolidation,8000,36,9.43%,256.01,B,3/1/2018,Fully Paid,Healthy,0.00,8039.82,8000.00,39.82,0,High (>100k),Healthy (<15%),Low,Safe,High
UT,Rent,"33,000.00",4.98,51511,4663,Home_Improvement,10000,36,6.07%,304.54,A,2/1/2018,Current,Healthy,8778.48,1360.25,1221.52,138.73,0,Low (<50k),Healthy (<15%),Low,Safe,High
CA,Rent,"41,000.00",20.99,54987,80834,Credit_Card,12000,36,6.08%,365.5,A,2/1/2018,Current,Healthy,10771.91,1451.87,1228.09,223.78,0,Low (<50k),Manageable (15-30%),Medium,Maxed Out,High
SC,Mortgage,"113,000.00",14.76,882897,40417,Debt_Consolidation,25000,36,6.08%,761.46,A,1/1/2018,Current,Healthy,21793.71,3798.86,3206.29,592.57,0,High (>100k),Healthy (<15%),Low,Safe,High
CA,Mortgage,"315,000.00",4.41,726766,34794,Home_Improvement,40000,36,10.90%,1307.66,B,3/1/2018,Current,Healthy,37141.21,3789.76,2858.79,930.97,0,High (>100k),Healthy (<15%),Low,Safe,High
IN,Rent,"47,757.00",25.11,39482,36228,Debt_Consolidation,23000,60,13.58%,530.18,C,3/1/2018,Current,Healthy,22181.11,1573.19,818.89,754.30,0,Low (<50k),Manageable (15-30%),Medium,Maxed Out,High
WA,Rent,"90,000.00",19.83,85347,57296,Debt_Consolidation,35000,60,18.45%,897.37,D,3/1/2018,Current,Healthy,33905.61,2656.23,1094.39,1561.84,0,Medium (50k-100k),Manageable (15-30%),Low,Safe,High
CT,Rent,"30,000.00",18.84,18572,12111,Credit_Card,5000,36,7.35%,155.19,A,2/1/2018,Current,Healthy,4624.01,463.53,375.99,87.54,0,Low (<50k),Manageable (15-30%),Low,Safe,High
DE,Rent,"93,000.00",0.32,53626,17792,Other,40000,36,6.72%,1229.97,A,1/1/2018,Current,Healthy,34913.50,6134.92,5086.50,1048.42,0,Medium (50k-100k),Healthy (<15%),Low,Safe,High
FL,Rent,"80,000.00",0.38,33400,27,Other,8000,36,16.02%,281.34,C,1/1/2018,Late (31-120 Days),Delinquent,7649.37,555.56,350.63,204.93,1,Medium (50k-100k),Healthy (<15%),Low,Safe,High
AL,Mortgage,"60,000.00",19.12,294287,37706,Major_Purchase,5000,36,10.42%,162.33,B,1/1/2018,Current,Healthy,4518.12,646.43,481.88,164.55,0,Medium (50k-100k),Manageable (15-30%),Low,Safe,High
KY,Own,"38,000.00",0.79,79175,1564,Other,27000,60,14.08%,629.37,C,1/1/2018,Fully Paid,Healthy,0.00,27033.58,27000.00,33.58,0,Low (<50k),Healthy (<15%),Low,Safe,High
GA,Mortgage,"50,000.00",17.83,224996,46806,Debt_Consolidation,27000,36,13.58%,917.3,C,3/1/2018,Current,Healthy,25143.90,2731.53,1856.10,875.43,0,Medium (50k-100k),Manageable (15-30%),Low,Safe,High
TX,Mortgage,"68,750.00",33.92,390220,71544,Home_Improvement,15000,36,7.97%,469.84,A,1/1/2018,Current,Healthy,12514.86,2942.56,2485.14,457.42,0,Medium (50k-100k),Risky (>30%),Medium,Safe,High
VA,Mortgage,"95,000.00",8.93,37523,24561,Other,6700,36,10.91%,219.07,B,1/1/2018,Current,Healthy,6058.70,872.22,641.30,230.92,0,Medium (50k-100k),Healthy (<15%),Low,Safe,High
NV,Rent,"155,000.00",23.74,150143,96138,Credit_Card,12000,36,9.44%,384.06,B,1/1/2018,Current,Healthy,10528.73,1954.92,1471.27,483.65,0,High (>100k),Manageable (15-30%),Medium,Safe,High
CT,Mortgage,"62,100.00",35.25,374372,69968,Debt_Consolidation,13550,36,16.01%,476.45,C,3/1/2018,Current,Healthy,12954.71,928.80,595.29,333.51,0,Medium (50k-100k),Risky (>30%),High,Safe,High
TN,Mortgage,"55,000.00",20.42,218445,71836,Debt_Consolidation,15000,36,10.42%,486.98,B,2/1/2018,Current,Healthy,13554.39,1930.55,1445.61,484.94,0,Medium (50k-100k),Manageable (15-30%),Medium,Safe,High
MA,Mortgage,"80,000.00",27.5,251196,54099,Major_Purchase,20000,60,17.47%,502.12,D,2/1/2018,Current,Healthy,19357.88,1486.95,642.12,844.83,0,Medium (50k-100k),Manageable (15-30%),Medium,Safe,High
AR,Mortgage,"130,000.00",8.22,57555,35949,Debt_Consolidation,12000,36,18.06%,434.2,D,1/1/2018,Current,Healthy,10693.25,2158.96,1306.75,852.21,0,High (>100k),Healthy (<15%),Low,Safe,High
AK,Mortgage,"78,000.00",30.75,443959,73454,Credit_Card,38500,36,11.99%,1278.57,B,1/1/2018,Current,Healthy,34870.48,5204.04,3629.52,1574.52,0,Medium (50k-100k),Risky (>30%),Medium,Safe,High
TX,Rent,"47,500.00",6.9,9500,6204,Debt_Consolidation,4350,36,11.98%,144.45,B,3/1/2018,Current,Healthy,4043.90,427.56,306.10,121.46,0,Low (<50k),Healthy (<15%),Low,Safe,High
NY,Rent,"60,000.00",8.28,16500,16252,Debt_Consolidation,11000,36,15.04%,381.54,C,3/1/2018,Current,Healthy,10259.78,1126.24,740.22,386.02,0,Medium (50k-100k),Healthy (<15%),Low,Maxed Out,High
MN,Rent,"230,000.00",15.16,239700,147821,Major_Purchase,6000,36,7.35%,186.23,A,1/1/2018,Current,Healthy,2229.00,3856.24,3771.00,85.24,0,High (>100k),Manageable (15-30%),Low,Safe,High
MD,Rent,"25,000.00",10.75,37600,10060,Major_Purchase,10000,36,9.44%,320.05,B,2/1/2018,Current,Healthy,9023.01,1274.96,976.99,297.97,0,Low (<50k),Healthy (<15%),Low,Safe,High
PA,Rent,"70,000.00",16.6,98988,37203,Debt_Consolidation,30000,60,9.92%,636.24,B,2/1/2018,Current,Healthy,28825.63,1892.19,1174.37,717.82,0,Medium (50k-100k),Manageable (15-30%),Low,Safe,High
MI,Rent,"25,000.00",41.15,55785,31247,Debt_Consolidation,10000,36,11.98%,332.05,B,3/1/2018,Current,Healthy,9533.25,657.44,466.75,190.69,0,Low (<50k),Risky (>30%),High,Safe,High
AZ,Mortgage,"100,000.00",10.16,273185,44344,Major_Purchase,19000,36,10.42%,616.83,B,1/1/2018,Current,Healthy,16701.19,3073.15,2298.81,774.34,0,Medium (50k-100k),Healthy (<15%),Low,Safe,High
GA,Own,"40,000.00",14.93,92600,13649,Debt_Consolidation,13000,36,7.35%,403.49,A,1/1/2018,Current,Healthy,11360.72,2006.83,1639.28,367.55,0,Low (<50k),Healthy (<15%),Low,Safe,High
CT,Rent,"33,000.00",2.36,20800,1884,Debt_Consolidation,4000,36,9.44%,128.02,B,2/1/2018,Fully Paid,Healthy,0.00,4084.03,4000.00,84.03,0,Low (<50k),Healthy (<15%),Low,Safe,High
CA,Rent,"54,237.00",8.19,31300,12513,Debt_Consolidation,9000,36,9.43%,288.01,B,3/1/2018,Current,Healthy,8563.78,566.59,436.22,130.37,0,Medium (50k-100k),Healthy (<15%),Low,Safe,High
NC,Rent,"140,000.00",21.85,123273,83527,Debt_Consolidation,30000,36,18.06%,1085.48,D,2/1/2018,Current,Healthy,27406.26,4161.32,2593.74,1567.58,0,High (>100k),Manageable (15-30%),Medium,Safe,High
NY,Mortgage,"200,000.00",17.19,173951,64070,Debt_Consolidation,20000,36,21.85%,762.26,D,2/1/2018,Current,Healthy,18783.84,2262.50,1216.16,1046.34,0,High (>100k),Manageable (15-30%),Low,Safe,High
AL,Mortgage,"85,000.00",4.44,251690,14125,Moving,10000,60,9.93%,212.13,B,2/1/2018,Current,Healthy,9476.02,834.73,523.98,310.75,0,Medium (50k-100k),Healthy (<15%),Low,Safe,High
OK,Mortgage,"77,177.88",28.27,301120,78994,Debt_Consolidation,21000,60,20.39%,560.94,D,2/1/2018,Current,Healthy,20162.49,2219.97,837.51,1382.46,0,Medium (50k-100k),Manageable (15-30%),Medium,Safe,High
CA,Own,"85,000.00",2.84,37900,6293,Debt_Consolidation,7000,36,7.34%,217.23,A,3/1/2018,Current,Healthy,6650.11,428.75,349.89,78.86,0,Medium (50k-100k),Healthy (<15%),Low,Safe,High
AR,Rent,"20,000.00",33.46,37389,28178,Debt_Consolidation,7500,36,15.05%,260.18,C,2/1/2018,Current,Healthy,6822.92,1028.18,677.08,351.10,0,Low (<50k),Risky (>30%),Medium,Safe,High
MO,Mortgage,"84,500.00",29.19,312460,67856,Credit_Card,20400,60,10.90%,442.53,B,3/1/2018,Current,Healthy,19621.28,1315.24,778.72,536.52,0,Medium (50k-100k),Manageable (15-30%),Medium,Safe,High
PA,Own,"23,000.00",13.73,13600,8180,Major_Purchase,1000,36,20.39%,37.37,D,3/1/2018,Current,Healthy,937.82,104.75,62.18,42.57,0,Low (<50k),Healthy (<15%),Low,Safe,High
CA,Rent,"31,000.00",29.89,65511,26745,Credit_Card,15000,36,24.85%,595.21,E,1/1/2018,Fully Paid,Healthy,0.00,16445.38,15000.00,1445.38,0,Low (<50k),Manageable (15-30%),Medium,Safe,High
AZ,Rent,"66,000.00",2.44,87000,7699,Major_Purchase,21000,36,7.35%,651.79,A,1/1/2018,Current,Healthy,18351.93,3288.97,2648.07,640.90,0,Medium (50k-100k),Healthy (<15%),Low,Safe,High
WI,Mortgage,"62,000.00",21.82,251800,27565,Debt_Consolidation,22000,36,9.44%,704.11,B,1/1/2018,Current,Healthy,19850.62,2845.29,2149.38,695.91,0,Medium (50k-100k),Manageable (15-30%),Medium,Safe,High
AZ,Mortgage,"18,000.00",10.09,108518,4527,Credit_Card,10000,36,17.47%,358.88,D,3/1/2018,Current,Healthy,9570.30,708.05,429.70,278.35,0,Low (<50k),Healthy (<15%),Low,Safe,High
NV,Rent,"35,790.00",32.03,64475,41624,Credit_Card,12525,36,10.91%,409.52,B,2/1/2018,Current,Healthy,11326.19,1622.90,1198.81,424.09,0,Low (<50k),Risky (>30%),Medium,Safe,High
IN,Mortgage,"30,000.00",26.56,177300,15439,Debt_Consolidation,2000,36,9.44%,64.01,B,2/1/2018,Current,Healthy,1804.60,253.94,195.40,58.54,0,Low (<50k),Manageable (15-30%),Medium,Safe,High
GA,Mortgage,"45,000.00",2.43,317870,3249,Home_Improvement,25000,36,6.71%,768.62,A,2/1/2018,Current,Healthy,22463.50,3023.23,2536.50,486.73,0,Low (<50k),Healthy (<15%),Low,Safe,High
NV,Rent,"31,000.00",15.64,37250,34218,Debt_Consolidation,14000,36,15.04%,485.59,C,3/1/2018,Current,Healthy,13375.87,947.78,624.13,323.65,0,Low (<50k),Manageable (15-30%),Low,Maxed Out,High
AL,Mortgage,"100,000.00",14.54,253869,31726,Credit_Card,35000,36,10.41%,1136.11,B,2/1/2018,Current,Healthy,31626.47,4433.12,3373.53,1059.59,0,Medium (50k-100k),Healthy (<15%),Low,Safe,High
TX,Mortgage,"31,700.00",17.31,74275,13299,Debt_Consolidation,13000,36,13.59%,441.73,C,2/1/2018,Current,Healthy,11694.34,1867.73,1305.66,562.07,0,Low (<50k),Manageable (15-30%),Low,Safe,High
MO,Rent,"42,000.00",37.34,77529,34688,Debt_Consolidation,20000,60,11.99%,444.79,B,2/1/2018,Current,Healthy,19005.39,1752.52,994.61,757.91,0,Low (<50k),Risky (>30%),High,Safe,High
FL,Mortgage,"65,000.00",19.42,290232,95416,Other,5000,36,20.00%,185.82,D,1/1/2018,Current,Healthy,4579.69,737.72,420.31,317.41,0,Medium (50k-100k),Manageable (15-30%),Low,Safe,High
AZ,Mortgage,"115,000.00",11.57,324622,24713,Credit_Card,26000,60,12.62%,586.54,C,1/1/2018,Current,Healthy,24401.19,2914.47,1598.81,1315.66,0,High (>100k),Healthy (<15%),Low,Safe,High
CA,Rent,"158,000.00",2.32,103662,10506,Debt_Consolidation,14000,36,6.71%,430.43,A,3/1/2018,Current,Healthy,12937.64,1286.07,1062.36,223.71,0,High (>100k),Healthy (<15%),Low,Safe,High
CO,Mortgage,"62,400.00",12.76,274471,11264,Home_Improvement,1300,36,11.98%,43.17,B,3/1/2018,Fully Paid,Healthy,0.00,1309.08,1300.00,9.08,0,Medium (50k-100k),Healthy (<15%),Low,Safe,High
AZ,Rent,"36,000.00",18.77,38600,19385,Debt_Consolidation,3700,36,7.35%,114.84,A,1/1/2018,Current,Healthy,3233.42,568.92,466.58,102.34,0,Low (<50k),Manageable (15-30%),Low,Safe,High
GA,Rent,"55,000.00",5.63,197370,192044,Small_Business,36000,60,12.62%,812.13,C,2/1/2018,Current,Healthy,34238.33,3223.28,1761.67,1461.61,0,Medium (50k-100k),Healthy (<15%),Low,Maxed Out,High
IN,Mortgage,"56,400.00",1.98,12800,5934,Debt_Consolidation,19200,60,11.99%,427,B,2/1/2018,Current,Healthy,18245.17,1695.21,954.83,740.38,0,Medium (50k-100k),Healthy (<15%),Low,Safe,High
MA,Rent,"105,000.00",19.41,106781,75510,Credit_Card,22000,36,11.98%,730.51,B,3/1/2018,Current,Healthy,19945.85,2662.25,2054.15,608.10,0,High (>100k),Manageable (15-30%),Low,Safe,High
KS,Rent,"38,000.00",21.73,42064,30876,Debt_Consolidation,9800,36,18.06%,354.59,D,1/1/2018,Current,Healthy,8952.70,1472.45,847.30,625.15,0,Low (<50k),Manageable (15-30%),Medium,Safe,High
MS,Mortgage,"115,000.00",7.87,308370,20909,House,12000,60,12.61%,270.65,C,3/1/2018,Current,Healthy,11561.78,795.14,438.22,356.92,0,High (>100k),Healthy (<15%),Low,Safe,High
WY,Own,"77,017.00",20.18,132742,35077,Home_Improvement,28500,60,17.47%,715.53,D,3/1/2018,Current,Healthy,27584.95,2091.27,915.05,1176.22,0,Medium (50k-100k),Manageable (15-30%),Medium,Safe,High
OR,Rent,"55,000.00",0.55,6000,604,Other,25000,60,15.05%,595.41,C,1/1/2018,Current,Healthy,23851.13,2402.55,1148.87,1253.68,0,Medium (50k-100k),Healthy (<15%),Low,Safe,High
TX,Own,"48,000.00",0.68,17000,1693,Credit_Card,6000,36,9.43%,192.01,B,3/1/2018,Current,Healthy,5562.00,572.89,438.00,134.89,0,Low (<50k),Healthy (<15%),Low,Safe,High
CA,Own,"220,000.00",9.19,355259,94517,Debt_Consolidation,3500,36,5.31%,105.39,A,3/1/2018,Current,Healthy,3229.09,312.05,270.91,41.14,0,High (>100k),Healthy (<15%),Low,Safe,High
CA,Rent,"59,000.00",18.28,65738,41228,Debt_Consolidation,12000,36,10.41%,389.53,B,3/1/2018,Current,Healthy,11426.66,772.12,573.34,198.78,0,Medium (50k-100k),Manageable (15-30%),Low,Safe,High
IL,Rent,"72,000.00",20.18,59242,39503,Medical,4500,36,15.05%,156.11,C,1/1/2018,Current,Healthy,3988.98,776.79,511.02,265.77,0,Medium (50k-100k),Manageable (15-30%),Medium,Safe,High
WA,Mortgage,0.00,NA,220540,25377,Debt_Consolidation,15000,36,7.35%,465.57,A,2/1/2018,Current,Healthy,13872.03,1390.59,1127.97,262.62,0,Low (<50k),Risky (>30%),High,Safe,High
TN,Mortgage,"66,920.00",12.32,176977,28766,Credit_Card,10000,60,19.03%,259.58,D,1/1/2018,Current,Healthy,9478.74,1292.19,521.26,770.93,0,Medium (50k-100k),Healthy (<15%),Low,Safe,High
CA,Mortgage,"53,000.00",28.92,471060,18957,Vacation,5000,36,10.41%,162.31,B,3/1/2018,Current,Healthy,4640.09,484.04,359.91,124.13,0,Medium (50k-100k),Manageable (15-30%),Medium,Safe,High
OH,Mortgage,"26,000.00",18.19,46579,27078,Credit_Card,5600,36,10.91%,183.1,B,2/1/2018,Current,Healthy,5064.00,723.91,536.00,187.91,0,Low (<50k),Manageable (15-30%),Low,Safe,High
NJ,Rent,"76,000.00",25.09,136028,103390,Credit_Card,12000,36,7.97%,375.88,A,1/1/2018,Current,Healthy,10499.29,1852.84,1500.71,352.13,0,Medium (50k-100k),Manageable (15-30%),Medium,Safe,High
CA,Own,"55,000.00",12.7,40197,30716,Credit_Card,8800,36,9.93%,283.67,B,2/1/2018,Current,Healthy,7946.07,1124.97,853.93,271.04,0,Medium (50k-100k),Healthy (<15%),Low,Safe,High
WI,Own,"78,000.00",33.14,307103,96519,House,25000,60,12.62%,563.98,C,2/1/2018,Current,Healthy,23776.62,2212.10,1223.38,988.72,0,Medium (50k-100k),Risky (>30%),Medium,Safe,High
FL,Mortgage,"110,000.00",18.61,81229,36081,Debt_Consolidation,10000,36,12.62%,335.12,C,1/1/2018,Current,Healthy,8825.79,1689.63,1174.21,515.42,0,High (>100k),Manageable (15-30%),Low,Safe,High
IN,Mortgage,"58,000.00",20.82,122561,37310,Debt_Consolidation,15000,36,18.06%,542.74,D,1/1/2018,Current,Healthy,13366.62,2676.08,1633.38,1042.70,0,Medium (50k-100k),Manageable (15-30%),Medium,Safe,High
GA,Rent,"48,000.00",27.87,115031,92950,Home_Improvement,12000,36,6.71%,368.94,A,3/1/2018,Current,Healthy,11089.41,1097.87,910.59,187.28,0,Low (<50k),Manageable (15-30%),Medium,Maxed Out,High
MO,Mortgage,"90,000.00",19.49,240299,73861,Small_Business,20000,36,6.07%,609.08,A,3/1/2018,Current,Healthy,18468.54,1813.75,1531.46,282.29,0,Medium (50k-100k),Manageable (15-30%),Low,Safe,High
CA,Mortgage,"62,000.00",29.95,61422,34271,Debt_Consolidation,2600,36,18.06%,94.08,D,3/1/2018,Current,Healthy,2432.71,277.02,167.29,109.73,0,Medium (50k-100k),Manageable (15-30%),Medium,Safe,High
NC,Mortgage,"132,000.00",9.13,383663,56556,Credit_Card,20000,36,5.32%,602.3,A,1/1/2018,Current,Healthy,13891.06,6496.72,6108.94,387.78,0,High (>100k),Healthy (<15%),Low,Safe,High
MI,Mortgage,"280,000.00",18.64,517786,199565,Debt_Consolidation,33550,36,13.59%,1139.99,C,3/1/2018,Current,Healthy,32021.32,2368.64,1528.68,839.96,0,High (>100k),Manageable (15-30%),Low,Safe,High
TN,Mortgage,"62,000.00",9.16,235383,150759,Home_Improvement,3000,36,7.96%,93.96,A,3/1/2018,Charged Off,Default,0.00,0.00,0.00,0.00,1,Medium (50k-100k),Healthy (<15%),Low,Safe,High
MI,Mortgage,"223,500.00",15.22,101128,65177,Major_Purchase,40000,36,9.43%,1280.01,B,3/1/2018,Current,Healthy,37080.14,3819.07,2919.86,899.21,0,High (>100k),Manageable (15-30%),Low,Safe,High
AZ,Mortgage,"80,000.00",8.87,217504,27940,Credit_Card,6000,36,5.31%,180.67,A,3/1/2018,Current,Healthy,5535.59,540.24,464.41,75.83,0,Medium (50k-100k),Healthy (<15%),Low,Safe,High
IN,Mortgage,"147,000.00",26.14,467126,187062,Home_Improvement,40000,36,6.07%,1218.15,A,3/1/2018,Current,Healthy,36937.11,3640.96,3062.89,578.07,0,High (>100k),Manageable (15-30%),Medium,Safe,High
AL,Mortgage,"69,116.00",20.33,250101,42326,Debt_Consolidation,15000,36,21.45%,568.6,D,1/1/2018,Current,Healthy,13765.49,2256.52,1234.51,1022.01,0,Medium (50k-100k),Manageable (15-30%),Medium,Safe,High
WA,Rent,"75,000.00",5.34,19000,3471,Other,20000,36,7.35%,620.75,A,2/1/2018,Current,Healthy,17988.61,2474.83,2011.39,463.44,0,Medium (50k-100k),Healthy (<15%),Low,Safe,High
IN,Own,"45,000.00",9.63,13900,4920,Major_Purchase,16000,36,11.98%,531.28,B,3/1/2018,Current,Healthy,14874.20,1583.19,1125.80,457.39,0,Low (<50k),Healthy (<15%),Low,Safe,High
NY,Mortgage,"60,000.00",26.2,92075,53668,Debt_Consolidation,14000,36,7.34%,434.46,A,3/1/2018,Current,Healthy,12947.11,1297.67,1052.89,244.78,0,Medium (50k-100k),Manageable (15-30%),Medium,Safe,High
OR,Mortgage,"80,000.00",16.23,680565,67287,Debt_Consolidation,20000,36,6.07%,609.08,A,3/1/2018,Current,Healthy,18468.54,1813.75,1531.46,282.29,0,Medium (50k-100k),Manageable (15-30%),Low,Safe,High
WA,Mortgage,"60,000.00",10.32,242600,18172,Debt_Consolidation,20000,60,12.61%,451.08,C,2/1/2018,Current,Healthy,19269.64,1339.23,730.36,608.87,0,Medium (50k-100k),Healthy (<15%),Low,Safe,High
GA,Mortgage,"80,000.00",10.23,311002,31484,Credit_Card,10000,36,7.34%,310.33,A,3/1/2018,Current,Healthy,9247.92,943.23,752.08,191.15,0,Medium (50k-100k),Healthy (<15%),Low,Safe,High
NV,Rent,"40,000.00",4.17,36457,17503,Credit_Card,3000,36,9.93%,96.71,B,2/1/2018,Current,Healthy,2708.87,385.18,291.13,94.05,0,Low (<50k),Healthy (<15%),Low,Safe,High
GA,Mortgage,"30,000.00",17,235049,9892,Medical,15000,60,9.44%,314.59,B,2/1/2018,Current,Healthy,14204.31,1242.63,795.69,446.94,0,Low (<50k),Manageable (15-30%),Low,Safe,High
TX,Mortgage,"75,000.00",35.26,359953,89545,Debt_Consolidation,11200,60,18.45%,287.16,D,3/1/2018,Current,Healthy,10849.79,838.52,350.21,488.31,0,Medium (50k-100k),Risky (>30%),High,Safe,High
CO,Mortgage,"120,000.00",7.73,617155,36296,Small_Business,20000,36,6.07%,609.08,A,3/1/2018,Current,Healthy,18468.54,1813.75,1531.46,282.29,0,High (>100k),Healthy (<15%),Low,Safe,High
PA,Rent,"50,000.00",14.4,33269,24871,Major_Purchase,3000,36,11.99%,99.63,B,1/1/2018,Current,Healthy,2644.70,496.15,355.30,140.85,0,Medium (50k-100k),Healthy (<15%),Low,Safe,High
TX,Mortgage,"59,000.00",31.14,163716,32495,Home_Improvement,8500,36,9.44%,272.05,B,1/1/2018,Current,Healthy,7457.81,1355.79,1042.19,313.60,0,Medium (50k-100k),Risky (>30%),Medium,Safe,High
IN,Mortgage,"60,000.00",17.64,184275,22540,Debt_Consolidation,3000,36,12.62%,100.54,C,1/1/2018,Current,Healthy,2647.72,500.60,352.28,148.32,0,Medium (50k-100k),Manageable (15-30%),Low,Safe,High
TX,Mortgage,"70,000.00",33.55,304002,48386,Debt_Consolidation,28950,60,11.98%,643.69,B,3/1/2018,Fully Paid,Healthy,0.00,29579.92,28950.00,629.92,0,Medium (50k-100k),Risky (>30%),Medium,Safe,High
AL,Mortgage,"172,000.00",14.01,234853,211005,Debt_Consolidation,30000,36,12.61%,1005.2,C,3/1/2018,Current,Healthy,28612.85,1989.38,1387.15,602.23,0,High (>100k),Healthy (<15%),Low,Maxed Out,High
MA,Rent,"100,000.00",15.86,144700,88613,Small_Business,20000,36,5.32%,602.3,A,2/1/2018,Current,Healthy,17931.76,2397.38,2068.24,329.14,0,Medium (50k-100k),Manageable (15-30%),Low,Safe,High
MD,Mortgage,"95,000.00",27.25,124139,47715,Home_Improvement,35000,36,12.61%,1172.73,C,3/1/2018,Current,Healthy,32559.72,3493.67,2440.28,1053.39,0,Medium (50k-100k),Manageable (15-30%),Medium,Safe,High
AZ,Mortgage,"58,000.00",21.73,253507,45620,Credit_Card,17000,36,9.44%,544.09,B,2/1/2018,Current,Healthy,15339.10,2189.73,1660.90,528.83,0,Medium (50k-100k),Manageable (15-30%),Medium,Safe,High
VA,Mortgage,"68,000.00",18.76,411440,463581,Debt_Consolidation,7500,36,15.04%,260.14,C,3/1/2018,Current,Healthy,6995.31,767.89,504.69,263.20,0,Medium (50k-100k),Manageable (15-30%),Low,Maxed Out,High
TX,Mortgage,"65,000.00",9.55,156100,17592,Other,2500,36,6.71%,76.87,A,3/1/2018,Current,Healthy,2310.27,229.68,189.73,39.95,0,Medium (50k-100k),Healthy (<15%),Low,Safe,High
GA,Mortgage,"70,000.00",20.33,380500,38793,Debt_Consolidation,15000,36,7.35%,465.57,A,2/1/2018,Current,Healthy,13491.43,1856.16,1508.57,347.59,0,Medium (50k-100k),Manageable (15-30%),Medium,Safe,High
FL,Mortgage,"180,000.00",27.33,807175,324210,Credit_Card,36000,36,6.07%,1096.34,A,3/1/2018,Current,Healthy,33243.38,3264.74,2756.62,508.12,0,High (>100k),Manageable (15-30%),Medium,Safe,High
FL,Rent,"41,000.00",13.11,19702,9226,Other,5000,36,15.04%,173.43,C,3/1/2018,Current,Healthy,4663.53,516.11,336.47,179.64,0,Low (<50k),Healthy (<15%),Low,Safe,High
NY,Rent,"75,000.00",17.51,42708,16299,Debt_Consolidation,25000,36,9.92%,805.75,B,3/1/2018,Current,Healthy,23187.85,2403.47,1812.15,591.32,0,Medium (50k-100k),Manageable (15-30%),Low,Safe,High
ND,Rent,"65,000.00",27.81,87438,68191,Debt_Consolidation,20000,36,16.01%,703.24,C,3/1/2018,Current,Healthy,18673.24,2074.14,1326.76,747.38,0,Medium (50k-100k),Manageable (15-30%),Medium,Safe,High
CA,Mortgage,"84,646.00",2.48,264381,4175,Credit_Card,5250,36,6.72%,161.44,A,1/1/2018,Current,Healthy,4582.36,805.24,667.64,137.60,0,Medium (50k-100k),Healthy (<15%),Low,Safe,High
NY,Rent,"45,000.00",23.97,65792,37431,Vacation,4500,36,15.05%,156.11,C,1/1/2018,Fully Paid,Healthy,0.00,4516.93,4500.00,16.93,0,Low (<50k),Manageable (15-30%),Medium,Safe,High
NY,Rent,"23,500.00",26.66,33100,30304,Debt_Consolidation,1000,36,22.91%,38.67,E,1/1/2018,Current,Healthy,898.30,192.08,101.70,90.38,0,Low (<50k),Manageable (15-30%),Medium,Maxed Out,High
LA,Mortgage,"73,000.00",20.47,233141,36272,Debt_Consolidation,18000,60,28.72%,568.29,F,1/1/2018,Current,Healthy,17278.85,2812.73,721.15,2091.58,0,Medium (50k-100k),Manageable (15-30%),Medium,Safe,High
TX,Mortgage,"190,000.00",10.67,330695,156202,Credit_Card,35000,36,6.71%,1076.07,A,3/1/2018,Current,Healthy,32344.12,3215.16,2655.88,559.28,0,High (>100k),Healthy (<15%),Low,Safe,High
NY,Rent,"36,000.00",26.83,49148,25753,Debt_Consolidation,10000,36,10.42%,324.65,B,2/1/2018,Current,Healthy,9036.27,1284.13,963.73,320.40,0,Low (<50k),Manageable (15-30%),Medium,Safe,High
